year,month,city,place,rank,name,birth_place,association,dob,height,weight
2013,11,Fukuoka, Fukuoka International Center,J1e,Kagamio,Mongolia,Kagamiyama,09.02.1988,180,118.9
2013,11,Fukuoka, Fukuoka International Center,J1e,Kagamio,Mongolia,Kagamiyama,09.02.1988,180,118.9
2013,11,Fukuoka, Fukuoka International Center,J1e,Kagamio,Mongolia,Kagamiyama,09.02.1988,180,118.9
2013,11,Fukuoka, Fukuoka International Center,J1e,Kagamio,Mongolia,Kagamiyama,09.02.1988,180,118.9
2013,09,Tokyo, Ryogoku Kokugikan,J1e,Sokokurai,China,Arashio,09.01.1984,185,125.4
2013,09,Tokyo, Ryogoku Kokugikan,J1e,Sokokurai,China,Arashio,09.01.1984,185,125.4
2013,09,Tokyo, Ryogoku Kokugikan,J1e,Sokokurai,China,Arashio,09.01.1984,185,125.4
2013,09,Tokyo, Ryogoku Kokugikan,J1e,Sokokurai,China,Arashio,09.01.1984,185,125.4
2013,05,Tokyo, Ryogoku Kokugikan,J1e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,157.2
2013,05,Tokyo, Ryogoku Kokugikan,J1e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,157.2
2013,05,Tokyo, Ryogoku Kokugikan,J1e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,157.2
2013,05,Tokyo, Ryogoku Kokugikan,J1e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,157.2
2013,01,Tokyo, Ryogoku Kokugikan,J1e,Jokoryu,Tokyo,Kise,07.08.1988,185,151
2013,01,Tokyo, Ryogoku Kokugikan,J1e,Jokoryu,Tokyo,Kise,07.08.1988,185,151
2013,01,Tokyo, Ryogoku Kokugikan,J1e,Jokoryu,Tokyo,Kise,07.08.1988,185,151
2013,01,Tokyo, Ryogoku Kokugikan,J1e,Jokoryu,Tokyo,Kise,07.08.1988,185,151
2013,03,Osaka, Osaka Municipal Gymnasium,J1e,Homasho,Yamaguchi,Shikoroyama,16.04.1981,185,149.6
2013,03,Osaka, Osaka Municipal Gymnasium,J1e,Homasho,Yamaguchi,Shikoroyama,16.04.1981,185,149.6
2013,03,Osaka, Osaka Municipal Gymnasium,J1e,Homasho,Yamaguchi,Shikoroyama,16.04.1981,185,149.6
2013,03,Osaka, Osaka Municipal Gymnasium,J1e,Homasho,Yamaguchi,Shikoroyama,16.04.1981,185,149.6
2013,07,Nagoya, Aichi Prefectural Gymnasium,J1e,Takanoiwa,Mongolia,Takanohana,26.02.1990,179,128.5
2013,07,Nagoya, Aichi Prefectural Gymnasium,J1e,Takanoiwa,Mongolia,Takanohana,26.02.1990,179,128.5
2013,07,Nagoya, Aichi Prefectural Gymnasium,J1e,Takanoiwa,Mongolia,Takanohana,26.02.1990,179,128.5
2013,07,Nagoya, Aichi Prefectural Gymnasium,J1e,Takanoiwa,Mongolia,Takanohana,26.02.1990,179,128.5
2014,11,Fukuoka, Fukuoka International Center,J1e,Tokitenku,Mongolia,Tokitsukaze,10.09.1979,186,143
2014,11,Fukuoka, Fukuoka International Center,J1e,Tokitenku,Mongolia,Tokitsukaze,10.09.1979,186,143
2014,11,Fukuoka, Fukuoka International Center,J1e,Tokitenku,Mongolia,Tokitsukaze,10.09.1979,186,143
2014,11,Fukuoka, Fukuoka International Center,J1e,Tokitenku,Mongolia,Tokitsukaze,10.09.1979,186,143
2014,03,Osaka, Osaka Municipal Gymnasium,J1e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6
2014,03,Osaka, Osaka Municipal Gymnasium,J1e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6
2014,03,Osaka, Osaka Municipal Gymnasium,J1e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6
2014,03,Osaka, Osaka Municipal Gymnasium,J1e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6
2014,09,Tokyo, Ryogoku Kokugikan,J1e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6
2014,09,Tokyo, Ryogoku Kokugikan,J1e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6
2014,09,Tokyo, Ryogoku Kokugikan,J1e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6
2014,09,Tokyo, Ryogoku Kokugikan,J1e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6
2014,05,Tokyo, Ryogoku Kokugikan,J1e,Azumaryu,Chiba,Tamanoi,12.05.1987,192,147.2
2014,05,Tokyo, Ryogoku Kokugikan,J1e,Azumaryu,Chiba,Tamanoi,12.05.1987,192,147.2
