year,month,city,place,rank,name,birth_place,association,dob,height,weight
2013,11,Fukuoka, Fukuoka International Center,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,11,Fukuoka, Fukuoka International Center,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,11,Fukuoka, Fukuoka International Center,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,11,Fukuoka, Fukuoka International Center,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,09,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,09,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,09,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,09,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,05,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,05,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,05,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,05,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,01,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,01,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,01,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,01,Tokyo, Ryogoku Kokugikan,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,192,153.8
2013,03,Osaka, Osaka Municipal Gymnasium,Y1e,Harumafuji,Mongolia,Isegahama,14.04.1984,185,129.1
2013,03,Osaka, Osaka Municipal Gymnasium,Y1e,Harumafuji,Mongolia,Isegahama,14.04.1984,185,129.1
2013,03,Osaka, Osaka Municipal Gymnasium,Y1e,Harumafuji,Mongolia,Isegahama,14.04.1984,185,129.1
2013,03,Osaka, Osaka Municipal Gymnasium,Y1e,Harumafuji,Mongolia,Isegahama,14.04.1984,185,129.1
